window_start,key,n_tracks,share
2002,4,991,0.08864042933810376
2002,5,858,0.07674418604651163
2002,6,732,0.06547406082289803
2002,7,1267,0.1133273703041145
2002,8,718,0.06422182468694096
2002,9,1230,0.11001788908765653
2002,10,672,0.06010733452593918
2002,11,938,0.08389982110912343
2003,0,1342,0.10806023029229407
2003,1,1074,0.08648039294629198
2003,2,1426,0.11482405990820517
2003,3,394,0.03172558176986875
2003,4,1092,0.08792978500684435
2003,5,933,0.07512682180529834
2003,6,822,0.06618890409855865
2003,7,1426,0.11482405990820517
2003,8,787,0.0633706417585957
2003,9,1348,0.10854336097914485
2003,10,729,0.05870037845237137
2003,11,1046,0.0842257830743216
2004,0,1450,0.1110260336906585
2004,1,1135,0.08690658499234304
2004,2,1526,0.11684532924961716
2004,3,412,0.031546707503828486
2004,4,1136,0.08698315467075038
2004,5,1014,0.07764165390505359
2004,6,866,0.0663093415007657
2004,7,1489,0.11401225114854517
2004,8,808,0.061868300153139356
2004,9,1386,0.10612557427258805
2004,10,760,0.05819295558958652
2004,11,1078,0.08254211332312404
2005,0,1657,0.11679706773807007
2005,1,1207,0.08507788820751393
2005,2,1639,0.11552830055684782
2005,3,444,0.03129625713681539
2005,4,1196,0.08430253048565588
2005,5,1089,0.07676041446394587
2005,6,968,0.06823147952350743
2005,7,1671,0.11778388665679848
2005,8,873,0.061535208289278914
2005,9,1476,0.10403890886022416
2005,10,809,0.057024036089377596
2005,11,1158,0.08162402199196447
2006,0,1772,0.11896609600537093
2006,1,1284,0.08620342396777442
2006,2,1649,0.11070829137294394
2006,3,480,0.032225579053373615
2006,4,1248,0.0837865055387714
2006,5,1146,0.07693856998992951
2006,6,1058,0.07103054716347768
2006,7,1724,0.11574353810003357
2006,8,919,0.0616985565626049
2006,9,1527,0.10251762336354481
2006,10,877,0.05887881839543471
2006,11,1211,0.08130245048674052
2007,0,1982,0.12175942990539378
2007,1,1423,0.08741860179383217
2007,2,1747,0.10732276692468362
2007,3,532,0.032682147683990664
2007,4,1308,0.08035385182454848
2007,5,1267,0.07783511487897776
2007,6,1168,0.07175328664455093
2007,7,1855,0.11395748863496744
2007,8,1015,0.06235409755498218
2007,9,1727,0.10609411475611255
2007,10,957,0.05879100626612606
2007,11,1297,0.07967809313183438
2008,0,2083,0.12226330926806363
2008,1,1499,0.087984973880378
2008,2,1812,0.10635675294946294
2008,3,561,0.032928332452896635
2008,4,1342,0.07876973645594881
2008,5,1312,0.07700886306274579
2008,6,1217,0.07143276398426954
2008,7,1889,0.11087632799201737
2008,8,1098,0.06444796619123085
2008,9,1782,0.1045958795562599
2008,10,1035,0.06075013206550449
2008,11,1407,0.08258496214122205
2009,0,2254,0.11885678126977431
2009,1,1722,0.09080362792659777
2009,2,1919,0.10119173170217254
2009,3,648,0.03417000632777895
2009,4,1486,0.07835899599240667
2009,5,1500,0.07909723686985869
2009,6,1348,0.07108205020037967
2009,7,2044,0.1077831681079941
2009,8,1252,0.06601982704070872
2009,9,1999,0.10541025100189834
2009,10,1179,0.06217042817970892
2009,11,1613,0.08505589538072136
2010,0,2333,0.11430111214541179
2010,1,1895,0.09284209494880212
2010,2,2053,0.1005830189603645
2010,3,722,0.03537308314144334
2010,4,1627,0.079711920043114
2010,5,1649,0.08078977022193914
2010,6,1459,0.07148106413208564
2010,7,2161,0.10587428347459703
2010,8,1342,0.06574886090833375
2010,9,2145,0.10509039243545147
2010,10,1268,0.062123364852285534
2010,11,1757,0.08608103473617167
2011,0,2437,0.11124805989226697
2011,1,2095,0.09563589884050032
2011,2,2226,0.101615995617639
2011,3,751,0.034282844882680547
2011,4,1793,0.08184972153747831
2011,5,1781,0.08130192641285493
2011,6,1560,0.07121336620104081
2011,7,2343,0.10695699808271707
2011,8,1427,0.0651419702364649
2011,9,2275,0.10385282570985119
2011,10,1339,0.0611248059892267
2011,11,1879,0.08577558659727928
2012,0,2638,0.11096622218483153
2012,1,2280,0.09590712152441845
2012,2,2420,0.10179615530223363
2012,3,783,0.03293652462878055
2012,4,1949,0.08198376309258402
2012,5,1923,0.08089008539098978
2012,6,1746,0.07344466411475203
2012,7,2553,0.10739073739115804
2012,8,1574,0.06620956547343625
2012,9,2366,0.09952467084507635
2012,10,1461,0.06145627392419972
2012,11,2080,0.08749421612753965
2013,0,3013,0.11170015570549419
2013,1,2669,0.09894713427745236
2013,2,2668,0.09891006154074294
2013,3,849,0.03147475346630088
2013,4,2221,0.08233854823163046
2013,5,2240,0.08304293022910951
2013,6,2014,0.07466449173277971
2013,7,2878,0.10669533624972195
2013,8,1764,0.06539630755542374
2013,9,2698,0.10002224364202565
2013,10,1654,0.061318306517387115
2013,11,2306,0.08548973085193148
2014,0,3569,0.11329079770180618
2014,1,3154,0.10011744913182871
