genre,window_start,window_end,window_label,n_tracks,major_share
doom metal,2013,2017,2013_2017,270,0.45925925925925926
doom metal,2014,2018,2014_2018,305,0.5049180327868853
doom metal,2015,2019,2015_2019,301,0.5049833887043189
dream pop,1982,1986,1982_1986,23,0.7391304347826086
dream pop,1983,1987,1983_1987,24,0.7083333333333334
dream pop,1984,1988,1984_1988,28,0.7857142857142857
dream pop,1985,1989,1985_1989,35,0.8
dream pop,1986,1990,1986_1990,52,0.8076923076923077
dream pop,1987,1991,1987_1991,45,0.8444444444444444
dream pop,1988,1992,1988_1992,47,0.8723404255319149
dream pop,1989,1993,1989_1993,61,0.8524590163934426
dream pop,1990,1994,1990_1994,54,0.8518518518518519
dream pop,1991,1995,1991_1995,36,0.8333333333333334
dream pop,1992,1996,1992_1996,49,0.8775510204081632
dream pop,1993,1997,1993_1997,48,0.875
dream pop,1994,1998,1994_1998,34,0.8529411764705882
dream pop,1995,1999,1995_1999,30,0.8333333333333334
dream pop,1996,2000,1996_2000,37,0.7567567567567568
dream pop,1997,2001,1997_2001,31,0.6774193548387096
dream pop,1998,2002,1998_2002,29,0.6551724137931034
dream pop,1999,2003,1999_2003,28,0.6071428571428571
dream pop,2000,2004,2000_2004,30,0.6333333333333333
dream pop,2001,2005,2001_2005,26,0.7307692307692307
dream pop,2002,2006,2002_2006,28,0.6785714285714286
dream pop,2003,2007,2003_2007,52,0.5769230769230769
dream pop,2004,2008,2004_2008,59,0.6271186440677966
dream pop,2005,2009,2005_2009,65,0.6307692307692307
dream pop,2006,2010,2006_2010,98,0.6632653061224489
dream pop,2007,2011,2007_2011,142,0.704225352112676
dream pop,2008,2012,2008_2012,176,0.7045454545454546
dream pop,2009,2013,2009_2013,245,0.7020408163265306
