feature,genre,n_valid_windows,first_window,last_window,first_value,last_value,last_minus_first,mean_value,median_value
energy,reggae,42,1969,2015,0.5035000000000001,0.6673582089552239,0.16385820895522385,0.5846796721561173,0.5825071428571429
energy,rock,61,1955,2015,0.5348181818181819,0.7352219537815126,0.2004037719633307,0.6608864332533452,0.675032967032967
energy,samba,42,1963,2015,0.5525,0.5787556603773585,0.026255660377358492,0.5987431986350905,0.6085557651991615
energy,shoegaze,35,1981,2015,0.66476,0.6880606870229007,0.023300687022900668,0.6724374090902495,0.6807225130890052
energy,singer-songwriter,56,1960,2015,0.304945,0.46242841781874044,0.15748341781874042,0.40185976728183154,0.4214711822089947
energy,soft rock,49,1967,2015,0.4004857142857143,0.6020156249999999,0.20152991071428566,0.5336443878707161,0.5478636363636363
energy,soul,61,1955,2015,0.38338,0.543557691588785,0.16017769158878498,0.5172303149993186,0.513725
energy,soundtrack,44,1965,2015,0.49028571428571427,0.4223577708333333,-0.06792794345238096,0.4278114986025216,0.41780211015875657
energy,synthpop,41,1975,2015,0.69795,0.6816285110876452,-0.016321488912354742,0.724280822426447,0.7390454545454546
energy,thrash metal,37,1979,2015,0.92175,0.9424716981132075,0.020721698113207565,0.9216340782816574,0.9247241379310344
valence,alternative rock,37,1979,2015,0.65735,0.3920609917355372,-0.2652890082644628,0.4700566195815635,0.4398590814196242
valence,ambient,43,1971,2015,0.18106,0.23820422343324252,0.05714422343324252,0.22016651432076914,0.2132516129032258
valence,black metal,36,1980,2015,0.253505,0.15665637982195846,-0.09684862017804152,0.18423826930050619,0.15727457879986811
valence,blues,61,1955,2015,0.4774302325581395,0.4489144927536232,-0.02851573980451627,0.5460548951152217,0.5382675324675325
valence,bossa nova,54,1960,2015,0.5545500000000001,0.50804625,-0.046503750000000066,0.5441525330247772,0.5263792381606041
valence,brazilian rock,34,1982,2015,0.6360869565217391,0.5708775510204082,-0.06520940550133092,0.5791073610317404,0.588857822410148
valence,classic rock,61,1955,2015,0.8718461538461538,0.5470525423728814,-0.32479361147327246,0.6067218956417842,0.5986367088607595
valence,country,53,1955,2015,0.6880434782608695,0.4876611494252873,-0.2003823288355822,0.5648516254234592,0.57076
valence,death metal,33,1983,2015,0.16560999999999998,0.19503718309859155,0.029427183098591575,0.21635799012167142,0.22000742358078604
valence,disco,46,1970,2015,0.7632,0.6207052631578948,-0.14249473684210523,0.7525475720478739,0.7598843537414965
valence,doom metal,33,1983,2015,0.2716523809523809,0.2276112956810631,-0.04404108527131781,0.2383637481254617,0.23332102272727273
valence,dream pop,34,1982,2015,0.34395652173913044,0.41797538940809964,0.0740188676689692,0.33502499803029956,0.34114193433895296
